bval E=0.010000,doca E=0.010000,bval E=0.014384,doca E=0.014384,bval E=0.020691,doca E=0.020691,bval E=0.029764,doca E=0.029764,bval E=0.042813,doca E=0.042813,bval E=0.061585,doca E=0.061585,bval E=0.088587,doca E=0.088587,bval E=0.127427,doca E=0.127427,bval E=0.183298,doca E=0.183298,bval E=0.263665,doca E=0.263665,bval E=0.379269,doca E=0.379269,bval E=0.545559,doca E=0.545559,bval E=0.784760,doca E=0.784760,bval E=1.128838,doca E=1.128838,bval E=1.623777,doca E=1.623777,bval E=2.335721,doca E=2.335721,bval E=3.359818,doca E=3.359818,bval E=4.832930,doca E=4.832930,bval E=6.951928,doca E=6.951928,bval E=10.000000,doca E=10.000000
130904.546879884,131626.509103786,91003.8979777831,91505.8009149524,63265.2542982325,63614.173604533,43981.5490364727,44224.1152246601,30575.6560548859,30744.28632151,21255.9758277595,21373.2063743341,14777.0012711828,14858.4991026534,10272.8648328329,10329.5215381754,7141.62162789125,7181.00896130048,4964.80390873586,4992.1856991826,3451.49591178736,3470.53153525238,2399.45509391088,2412.68852221451,1668.08389603839,1677.28368006381,1159.63990794569,1166.03553152655,806.173310163853,810.619501604329,560.445877696529,563.536837956374,389.617936822037,391.766750127953,270.859582940244,272.353422470847,188.299630835716,189.338137316037,130.904546879884,131.626509103786
119995.604644542,120717.7468655,83420.0799218564,83922.1079916822,57993.038618231,58342.0449158527,40316.3426758413,40558.9693397685,28027.6309964708,28196.3033053936,19484.6071626694,19601.8669367472,13545.5585358375,13627.0766860578,9416.77471431567,9473.44554510653,6546.47394461926,6585.87109793847,4551.06152666341,4578.45014384082,3163.86518829725,3182.90555765626,2199.49628698121,2212.73301459615,1529.07397392863,1538.2760516115,1063.00121149778,1069.39842961278,738.990784561275,743.438084510398,513.741069868603,516.832800755674,357.149090873205,359.298439913617,248.287475136417,249.781687105783,172.607664095952,173.646429493017,119.995604644542,120.7177468655
110764.942753288,111487.264971572,77002.9902711056,77505.1434737755,53531.9241206034,53881.017409677,37215.0080141673,37457.6951539252,25871.6054811393,26040.3198324239,17985.7537560359,18103.0427576608,12503.5664450197,12585.1049140201,8692.38931910515,8749.0742753656,6042.88643621268,6082.29340945658,4200.97111857414,4228.36656249247,2920.48485858273,2939.52997384284,2030.30003503236,2043.54006196355,1411.44995843354,1420.65432977731,981.229843268117,987.628655919646,682.143918434432,686.592326893864,474.221538051951,477.314039567404,329.675397045959,331.82528182167,229.187961103328,230.682545512014,159.329819529656,160.368843843854,110.764942753288,111.487264971572
102852.929703773,103575.431919675,71502.6157958203,72004.8941315376,49708.1034091062,50057.2836897729,34556.7154016599,34799.4630173466,24023.5796067921,24192.3360005068,16701.01948104,16818.3377102594,11610.4284320401,11691.9872198537,8071.48620648942,8128.18528824242,5611.23906519799,5650.65585838256,3900.89297575575,3928.29524642609,2711.87269540505,2730.92255657397,1885.27436199621,1898.51768824903,1310.62915527801,1319.8358202864,911.139947209556,917.540354400208,633.417927609686,637.86744458123,440.347580243974,443.440852389061,306.126465599831,308.276886111712,212.8169136043,214.311870452913,147.948785242452,148.988068474203,102.852929703773,103.575431919675
95995.8357276078,96718.5179414428,66735.6134608775,67238.0169298612,46394.1177264923,46743.3849989044,32252.8564284711,32495.6645201926,22421.9534452222,22590.7518814406,15587.5805113471,15704.9279682122,10836.3736813263,10917.9527879886,7533.36891994613,7590.08212721639,5237.14380409448,5276.57041723689,3640.82464515243,3668.23374258671,2531.07506545569,2550.12967254174,1759.58515208944,1772.83177766966,1223.25092199358,1232.4598806706,850.395228887495,856.797230620059,591.188637026354,595.639262511949,410.990081642752,414.084124418822,285.717344058469,287.868300307458,198.628639332433,200.123968621623,138.085199178458,139.124741328217,95.9958357276079,96.7185179414429
89995.8634984946,90718.7257106002,62564.4759899325,63067.0045924173,43494.373004825,43843.7272691456,30236.9747872141,30479.8433550837,21020.5270502738,21189.3675290747,14613.3189772059,14730.6956617714,10159.0740811984,10240.6735067476,7062.51511708327,7119.24244989729,4909.80963229142,4949.24606541009,3413.26428697219,3440.68021118323,2372.8767437532,2391.93609676527,1649.60681847449,1662.85674338829,1146.79477672885,1156.00602907882,797.243467475953,803.64706375342,554.237915388902,558.689649390626,385.302206146833,388.397019555331,267.8593180646,270.010810051701,186.213868307544,187.70957003801,129.454539795761,130.494340864012,89.9958634984946,90.7187257106002
84701.7562374983,85424.7984482346,58884.0507598966,59386.7044961327,40935.7678980339,41285.209154437,28458.2509487098,28701.1799928485,19783.9710513563,19952.8535728238,13753.6741546883,13871.0800670128,9561.45519331281,9643.07493778946,6647.05477136559,6703.79622975161,4620.98459285104,4660.43084596561,3212.47520019754,3239.89795119899,2233.2896170764,2252.35371602397,1552.56685356965,1565.82007782363,1079.33329218569,1088.54683821317,750.344729402098,756.749920227657,521.63425053014,526.087093050211,362.636373208034,365.731957250501,252.102194286183,254.254222012468,175.25962936831,176.755703540798,121.839231797598,122.879291784859,84.7017562374983,85.4247984482346
79995.8697832223,80719.0919929716,55612.5523972543,56115.3312675077,38661.4458036183,39010.9740522888,26877.1586124846,27120.1481330209,18684.807049121,18853.7316133444,12989.5432585166,13106.9783986622,9030.23689895756,9111.87696240486,6277.75563993208,6334.51122392013,4364.25049704384,4403.70657017518,3033.99550625921,3061.42508406558,2109.2118195865,2128.28066447967,1466.3088625891,1479.56538619026,1019.36735824325,1028.58319795314,708.65684410926,715.063629486299,492.653132986682,497.107084027456,342.488909066647,345.585263744721,238.095822353845,240.248385820452,165.522500500365,167.018947115666,115.07004995315,116.110368859972,79.9958697832222,80.7190919929716
75785.32716614,76508.7293753075,52685.4135018601,53188.3175064123,36626.5199301291,36976.1351712627,25462.4928044796,25705.5428015495,17701.3415703972,17870.3081774712,12305.8451424185,12423.3095104509,8554.93489388599,8636.59527634966,5947.32910999758,6004.09881961943,4134.54035376742,4174.00624693762,2874.30266944454,2901.73907407117,1998.19450983177,2017.26810068122,1389.1304285966,1402.39025155238,965.713466911404,974.93160030885,671.357045368465,677.765425300572,466.722581603208,471.177641167179,324.462176543944,327.559301859358,225.563767765442,227.716866973577,156.810306429204,158.307125488155,109.013395395978,110.053973222942,75.78532716614,76.5087293753075
71995.8268106281,72719.4090196413,50050.980153596,50554.0092927441,34795.080844406,35144.7830782092,24189.2895454469,24432.4000191941,16816.2198366478,16985.2284866722,11690.5148893758,11808.0084853644,8127.16173470055,8208.84243622885,5649.94429133375,5706.72812662295,3927.80057013976,3967.27628337214,2730.57866118327,2758.0218926464,1898.27861465078,1917.35695146778,1319.66961804314,1332.93274036137,917.424811797985,926.645238888438,637.787120196513,644.197094687476,443.385011455448,447.841179545247,308.238065896933,311.335961851518,214.284882919252,216.438517870187,148.969306935216,150.466498438702,103.562389032926,104.603225780648,71.9958268106282,72.7194090196413
68567.219822132,69290.9820314408,47667.4372742694,48170.5915483264,33138.0590053178,33487.8482320082,23037.3398998039,23280.5108503796,16015.3927414376,16184.4434345174,11133.7856618018,11251.3084858197,7740.12758626962,7821.82860691333,5380.88093946985,5437.67890046171,3740.74966620858,3780.2351995277,2600.54222025182,2627.9922785685,1807.87821767466,1826.96130047108,1256.82391329375,1270.09033498268,873.73493058551,882.957651374704,607.414229511747,613.825798565551,422.26999665231,426.72727327071,293.559059714609,296.657726310291,204.080143566254,206.234314261329,141.875045650142,143.372609599095,98.6305096933415,99.6716053624685,68.567219822132,69.2909820314408
65450.2934687411,66174.235678818,45500.5725271761,46003.8519364704,31631.6702428474,31981.5464626533,21990.1092838916,22233.3407114546,15287.3655613188,15456.4582975645,10627.6664107617,10745.2184628857,7388.27712893979,7469.99846875227,5136.27703620237,5193.08912293398,3570.70279474012,3610.19814817175,2482.32686019442,2509.78374538257,1725.69575096522,1744.7835797535,1199.69125446525,1212.96097553353,834.01671774146,843.241732235417,579.802414065517,586.215577686349,403.074461464706,407.532846614617,280.214461933414,283.313899172217,194.803075320881,196.957781761501,135.425694636311,136.923631031707,94.1469673285054,95.1883219197173,65.4502934687411,66.1742356788181
62604.3937545273,63328.5159658674,43522.1235472108,44025.5280920866,30256.2667643708,30606.2299775314,21033.9386938171,21277.2305985336,14622.6426551821,14791.7774347093,10165.5558349613,10283.1371152717,7067.02118560587,7148.76284464299,4912.9422186674,4969.76843117761,3415.44203845418,3454.94721202533,2374.39070089535,2401.85441297376,1650.65931057344,1669.75188536664,1147.52646165407,1160.79948211079,797.752129565037,806.979437770064,554.591533608921,561.006291801166,385.548038985987,390.007532670457,268.030219283444,271.130427167487,186.332677603742,188.487919791381,129.537135162597,131.035444005462,90.0532832025167,91.0948967165254,62.6043937545273,63.3285159658674
59995.6423495484,60719.9445626691,41708.5383634514,42212.0680442684,28995.4754093669,29345.5256161324,20157.4456263354,20400.7980083793,14013.3109887693,14182.4878116988,9741.95284998825,9859.56335856908,6772.53544201329,6854.29742033347,4708.21785114485,4765.05818947426,3273.11913295049,3312.6341266894,2275.44884225813,2302.91938124641,1581.87564320842,1600.97296402019,1099.70855160724,1112.98487146187,764.509462972212,773.739064894903,531.481471267857,537.897824036098,369.482090127265,373.942692349481,256.861287373103,259.962265904601,178.568116598675,180.723894534874,124.139268286394,125.637949577798,86.3007250354545,87.3425974730045,59.9956423495484,60.7199445626691
57595.5814566511,58320.0636720925,40040.0333203217,40543.6881374554,27835.5427229972,28185.6799236286,19351.0687787204,19594.4816382731,13452.7236133029,13621.9424797609,9352.23654493594,9469.8762818749,6501.60747418798,6583.38977185218,4519.87067962967,4576.72514382066,3142.18153613272,3181.70635006884,2184.42196820161,2211.89933412025,1518.59441610577,1537.69648295034,1055.7158983922,1068.99551765465,733.926087372378,743.157983019616,510.22012886806,516.638076217082,354.701358053862,359.163068817149,246.585828913442,249.687578094708,171.424691900098,173.581005586463,119.173210895906,120.672264636966,82.8483577121828,83.8904890740509,57.5955814566511,58.3200636720925
55380.1314013193,56104.7936196439,38499.8684015639,39003.6483554052,26764.8311665513,27115.0553613204,18606.7178178951,18850.1911551457,12935.2561875093,13104.5170976273,8992.49691826771,9110.16588365615,6251.51907722863,6333.32169430034,4346.01102765593,4402.87961775265,3021.31555853464,3060.85019269866,2100.39681127247,2127.88100414281,1460.18073231094,1479.28754520315,1015.10712621984,1028.39004490042,705.695161496538,714.92935087549,490.594192569753,497.01373450454,341.057548521039,345.520367828863,237.100750813806,240.203270647246,164.830733934048,166.987583372255,114.589138819611,116.088565011491,79.6615438275838,80.7039341145791,55.3801314013193,56.1047936196438
53328.7798682225,54053.6220900152,37073.7835933272,37577.6886842829,25773.4272811269,26123.7384703165,17917.5009786456,18161.0347937906,12456.1176058588,12625.4205597733,8659.40322793354,8777.10142186644,6019.95474325612,6101.77767980138,4185.02917082659,4241.91188687495,2909.40213135159,2948.94658577543,2022.59540289927,2050.08642274349,1406.09375367742,1425.2053126327,977.506248306809,990.79246641624,679.555302041448,688.791785159568,472.42195058348,478.843087109213,328.424336801787,332.888264657749,228.318233033995,231.421523522117,158.725190841223,160.882576033011,110.344609244727,111.844407888638,76.710777443962,77.753426656926,53.3287798682225,54.0536220900153
51423.9448727901,52148.9670986586,35749.5560265957,36253.5862550881,24852.8338162354,25203.2320001391,17277.5110336449,17521.1053268885,12011.2012064683,12180.5462043211,8350.10055217597,8467.82797475198,5804.92975123101,5886.7730073184,4035.54534537259,4092.44218742026,2805.48205275091,2845.03632746771,1950.35091287787,1977.84875971901,1355.86990465102,1374.98620968538,942.590990267348,955.880507816765,655.282466175733,664.521243040764,455.547649946836,461.970381068897,316.693444558657,321.1584809665,220.163001253836,223.267062399239,153.055732456498,155.213653403677,106.403242617438,107.903413714637,73.9707677575758,75.0136758973825,51.4239448727901,52.1489670986586
49650.46953177,50375.6717623442,34516.6487453199,35020.8041117871,23995.7255559376,24346.2107348599,16681.6555455416,16925.3103170954,11596.966763576,11766.3538055144,8062.12775154864,8179.88440287007,5604.73313473981,5686.59671044046,3896.37009976879,3953.28106786522,2708.72842460091,2748.29251964504,1883.08848758394,1910.59316144591,1309.10955113326,1328.2306022633,910.083529355079,923.376346356032,632.683513527501,641.92458414747,439.837020864626,446.261346588597,305.771528397288,310.23767336089,212.570163817997,215.674995623378,147.777246568555,149.935703272999,102.733677253415,104.234220805205,71.4197123514045,72.46287941896,49.65046953177,50.3756717623442
