theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
2.351,300.419590929685,208.849535444926,145.190692526343,100.935523516345,70.1696488269737,48.7814343748213,33.9125017645842,23.5757269270977,16.3896755243677,11.3939843562281,7.9210158442096,5.50663315330283,3.82817169936865,2.6613173879319,1.85012867643234,1.28619612785729,0.894154282557858,0.621609615905538,0.43213852701223,0.300419590929685
2.352,299.997011427905,208.555761219477,144.986462801108,100.793544482596,70.0709460255033,48.7128168982765,33.8647993891984,23.542564579369,16.3666212991223,11.3779572249161,7.90987389797808,5.49888735254728,3.82278687448277,2.65757389646255,1.8475262281303,1.28438692454528,0.892896537448533,0.620735240566107,0.431530667575103,0.299997011427905
2.353,299.57460796684,208.262109376264,144.782318155122,100.651624595328,69.9722843422404,48.6442280068134,33.8171168859555,23.5094160466108,16.343576677945,11.3619367702829,7.89873659332562,5.49114477858406,3.81740429283967,2.65383196447943,1.84492486397184,1.28257847492209,0.89163931629824,0.619861229479222,0.430923061363721,0.29957460796684
2.354,299.152380225437,207.968579692094,144.578258433223,100.509763746674,69.8736637021964,48.5756676483004,33.7694542186139,23.4762813036283,16.3205416433203,11.3459229801522,7.88760392178724,5.48340542552836,3.81202395034827,2.65009158913844,1.84232458197979,1.28077077761319,0.89038261815142,0.618987581980583,0.430315707916268,0.299152380225437
2.355,298.730327883088,207.675171944084,144.374283480463,100.367961828915,69.7750840304861,48.5071357706779,33.7218113509821,23.4431603252615,16.2975161777574,11.3299158423642,7.87647587490959,5.4756692875035,3.80664584292315,2.64635276759943,1.83972538017967,1.27896383124593,0.889126442053827,0.618114297406805,0.429708606771565,0.298730327883088
2.356,298.308450619627,207.381885909654,144.170393142109,100.226218734481,69.6765452523274,48.4386323219578,33.6741882469186,23.4100530863849,16.2745002637891,11.313915344776,7.86535244425101,5.46793635864087,3.8012699664845,2.64261549702614,1.83712725659975,1.2771576344496,0.887870787052533,0.617241375095422,0.429101757469069,0.298308450619627
2.357,297.886748115327,207.088721366535,143.966587263637,100.084534355949,69.5780472930412,48.3701572502238,33.6265848703314,23.3769595619077,16.2514938839724,11.2979214752613,7.85423362138142,5.46020663307995,3.79589631695812,2.63887977458622,1.834530209271,1.27535218585531,0.88661565219592,0.616368814384873,0.428495159548868,0.297886748115327
2.358,297.465220050902,206.79567809276,143.762865690741,99.942908586045,69.479590078051,48.3017105036309,33.5790011851783,23.3438797267737,16.2284970208885,11.2819342217107,7.84311939788235,5.45248010496829,3.79052489027543,2.63514559745122,1.8319342362271,1.27354748409612,0.88536103653368,0.615496614614513,0.427888812551685,0.297465220050902
2.359,297.043866107503,206.502755866668,143.559228269321,99.8013413176421,69.3811735328827,48.2332920304053,33.5314371554663,23.3108135559608,16.2055096571422,11.2659535720311,7.83200976534689,5.44475676846146,3.78515568237343,2.63141296279656,1.82933933550442,1.27174352780692,0.884106939116808,0.614624775124598,0.427282716018874,0.297043866107503
2.36,296.62268596672,206.209954466902,143.355674845493,99.6598324437597,69.2827975831645,48.1649017788441,33.4838927452522,23.2777610244814,16.1825317753623,11.2499795141463,7.82090471537965,5.43703661772305,3.77978868919467,2.62768186780156,1.82674550514204,1.26994031562449,0.882853358997601,0.613753295256294,0.426676869492415,0.29662268596672
