theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
2.714,142099.328216201,68675.6140216808,33190.4451657863,16040.7106073387,7752.36353423856,3746.66321450225,1810.73619431124,875.116170756312,422.93754039113,204.402762798346,98.7864293175734,47.7427921409431,23.073758381181,11.1513864597908,5.38938728235226,2.60465327642543,1.25881075806314,0.608374457728281,0.29402313131297,0.142099328216201
2.715,142037.712331472,68645.8354944327,33176.0534113066,16033.7551727975,7749.00202124694,3745.03861872379,1809.95103850492,874.736710432478,422.754149863791,204.314131435841,98.7435943983799,47.7220903233195,23.0637533371423,11.1465510918035,5.38705038273622,2.60352386914355,1.25826492340272,0.608110659644716,0.293895639539476,0.142037712331472
2.716,141976.271800633,68616.1417144961,33161.7026146113,16026.8195328679,7745.65007485296,3743.41864641524,1809.16811718936,874.358330022437,422.571281251254,204.225752311119,98.7008813839473,47.7014474214163,23.0537767666604,11.1417294848876,5.38472013374996,2.60239767606463,1.25772064214416,0.607847612309441,0.293768510597393,0.141976271800633
2.717,141915.006387077,68586.5325675205,33147.3927204356,16019.9036608407,7742.30768214832,3741.8032913381,1808.38742734952,873.981028069047,422.388933849293,204.137625083833,98.6582901097881,47.6808633557379,23.0438286313154,11.136921620475,5.38239652641969,2.60127469285173,1.25717791219146,0.607585314709461,0.293641743997149,0.141915006387077
2.718,141853.915854974,68557.0079395318,33133.1236736967,16013.0075300946,7738.97483026716,3740.19254727438,1807.60896598031,873.604803119965,422.207106956,204.049749414755,98.6158204119559,47.6603380470503,23.0339088928141,11.1321274800588,5.38007955180118,2.60015491518215,1.25663673145548,0.607323765835116,0.29351533925078,0.141853915854974
2.719,141792.999969274,68527.5677169307,33118.8954194928,16006.1311140962,7735.65150638599,3738.58640802659,1806.83273008651,873.229653727624,422.025799871778,203.962124965775,98.5734721270443,47.6398714163802,23.0240175129894,11.1273470451932,5.37776920097963,2.59903833874743,1.25609709785398,0.607062964680071,0.293389295871933,0.141792999969274
2.72,141732.258495698,68498.2117864927,33104.7079031033,15999.2743863993,7732.33769772358,3736.98486741766,1806.05871668279,872.855578449232,421.845011899334,203.874751399895,98.5312450921852,47.6194633850146,23.0141544537998,11.122580297493,5.37546546506961,2.59792495925331,1.25555900931156,0.606802910241304,0.293263613375854,0.141732258495698
2.721,141671.691200743,68468.9400353668,33090.561069988,15992.4373206451,7729.03339154089,3735.38791929088,1805.28692279365,872.482575846758,421.664742343677,203.787628381232,98.4891391450481,47.5991138745004,23.0043196773293,11.1178272186336,5.37316833521504,2.59681477241971,1.2550224637597,0.606543601519109,0.293138291279392,0.141671691200743
2.722,141611.297851674,68439.7523510747,33076.4548657871,15985.6198905617,7725.73857514095,3733.79555750989,1804.51734545344,872.110644486917,421.484990512113,203.700755575012,98.4471541238388,47.5788228066434,22.9945131457875,11.1130877903512,5.37087780258907,2.59570777398066,1.25448745913669,0.606285037517075,0.293013329100988,0.141611297851674
2.723,141551.078216529,68410.6486215099,33062.3892363202,15978.8220699641,7722.45323586874,3732.20777595863,1803.74998170631,871.739782941167,421.305755714235,203.614132647565,98.4052898672975,47.5585901035081,22.9847348215084,11.1083619944421,5.36859385839403,2.59460395968432,1.25395399338763,0.60602721724209,0.292888726360679,0.141551078216529
2.724,141491.032064112,68381.6287349372,33048.3641275865,15972.0438327543,7719.17736111117,3730.62456854127,1802.98482860618,871.369989785691,421.127037261923,203.527759266328,98.3635462146989,47.5384156874168,22.9749846669511,11.103649812763,5.36631649386139,2.59350332529291,1.25342206446445,0.605770139704327,0.292764482580088,0.141491032064112
2.725,141431.159163992,68352.6925799913,33034.3794857639,15965.2851529203,7715.91093829691,3729.04592918216,1802.22188321674,871.001263601391,420.948834469337,203.441635099839,98.3219230058494,47.5182994809493,22.9652626446989,11.0989512272307,5.36404570025165,2.5924058665827,1.25289167032583,0.60551380391724,0.292640597282423,0.141431159163992
2.726,141371.459286505,68323.8400456764,33020.4352572089,15958.5460045366,7712.65395489633,3727.47185182585,1801.46114261142,870.633602973875,420.771146652912,203.355759817737,98.2804200810874,47.4982414069422,22.9555687174592,11.094266219822,5.3617814688543,2.59131157934396,1.25236280893726,0.605258208897553,0.292517069992476,0.141371459286505
2.727,141311.932202746,68295.0710213653,33006.5313884562,15951.8263617638,7709.40639842141,3725.90233043694,1800.70260387337,870.267006493447,420.59397313135,203.270133090754,98.2390372812809,47.478241388488,22.9459028480633,11.0895947725735,5.35952379098775,2.59022045938095,1.25183547827094,0.605003353665256,0.292393900236613,0.141311932202746
2.728,141252.577684574,68266.3853967985,32992.6678262181,15945.1261988483,7706.16825642565,3724.33735900013,1799.94626409542,869.9014727551,420.417313225623,203.18475459072,98.1977744478274,47.4582993489353,22.936264999466,11.0849368675814,5.3572726579993,2.58913250251185,1.25130967630585,0.604749237243597,0.292271087542778,0.141252577684574
2.729,141193.395504606,68237.7830620833,32978.8445173842,15938.4454901222,7702.93951650394,3722.77693152011,1799.19212038009,869.537000358497,420.241166258956,203.099623990557,98.1566314226515,47.4384152118875,22.9266551347453,11.0802924870017,5.35502806126499,2.58804770456879,1.25078540102767,0.604495858659073,0.292148631440483,0.141193395504606
2.73,141134.385436217,68209.2639076932,32965.0614090211,15931.7842100033,7699.72016629249,3721.22104202157,1798.44016983955,869.173587907969,420.065531556833,203.014740964274,98.1156080482049,47.4185889012023,22.9170732171024,11.0756616130497,5.35278999218962,2.58696606139775,1.25026265042881,0.604243216941425,0.292026531460808,0.141134385436217
2.731,141075.547253535,68180.8278244667,32951.318448372,15925.1423329944,7696.51019346878,3719.6696845491,1797.6904095956,868.811234012501,419.890408446986,202.930105186968,98.0747041674645,47.3988203409918,22.907519209861,11.071044228,5.35055844220665,2.5858875688586,1.24974142250835,0.603991311123628,0.291904787136398,0.141075547253535
2.732,141016.880731446,68152.474703607,32937.6155828559,15918.5198336836,7693.30958575139,3718.12285316718,1796.94283677964,868.44993728572,419.71579625939,202.845716334823,98.0339196239313,47.379109455621,22.8979930764672,11.0664403141865,5.34833340277813,2.58481222282498,1.24922171527207,0.603740140241887,0.291783398001457,0.141016880731446
